GeneSymbol	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells	Intestinal Epithelial Cells
NMNAT1	1.0	2.0	0.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0
RBP7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBE4B	9.0	21.0	16.0	16.0	13.0	11.0	13.0	17.0	20.0	11.0
KIF1B	17.0	31.0	24.0	26.0	17.0	29.0	29.0	30.0	31.0	14.0
AL139424.3	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0
AL139424.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PGD	14.0	12.0	12.0	10.0	18.0	9.0	14.0	12.0	15.0	14.0
AL139424.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENPS	5.0	5.0	6.0	4.0	5.0	2.0	5.0	4.0	4.0	3.0
CORT	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0
DFFA	8.0	11.0	9.0	7.0	9.0	8.0	10.0	9.0	10.0	13.0
AL354956.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PEX14	15.0	14.0	11.0	12.0	13.0	10.0	11.0	9.0	12.0	11.0
AL139423.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASZ1	40.0	48.0	42.0	28.0	40.0	33.0	41.0	42.0	47.0	25.0
AL139423.1	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0
C1orf127	4.0	4.0	2.0	1.0	4.0	2.0	4.0	4.0	5.0	4.0
TARDBP	31.0	33.0	27.0	21.0	35.0	28.0	27.0	27.0	25.0	29.0
MASP2	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
AL109811.2	0.0	2.0	2.0	3.0	1.0	3.0	3.0	2.0	2.0	0.0
SRM	2.0	2.0	3.0	2.0	6.0	2.0	3.0	4.0	2.0	3.0
EXOSC10	18.0	17.0	18.0	15.0	16.0	15.0	17.0	21.0	23.0	19.0
AL109811.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EXOSC10-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
