Sample ID,Sample Name,Donor,Cell Type,Study Design,Study Design Batch,Treatment
58,D3_INT_HEP_C_1,D3,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,NO TREATMENT
59,D3_INT_HEP_C_2,D3,LIVER HEP,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,NO TREATMENT
60,D3_INT_HEP_GL_C,D3,LIVER HEP,INTERACTION (INT) GUT-LIVER (GL),INTERACTION (INT) GUT-LIVER (GL),NO TREATMENT
61,D4_ISO1_LP_1,D4,GUT LP CD45+,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) GUT-IMMUNE CELLS-1,NO TREATMENT
62,D4_ISO1_LP_2,D4,GUT LP CD45+,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) GUT-IMMUNE CELLS-2,NO TREATMENT
63,D4_ISO1_LTL_1,D4,LIVER CD45+,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) LIVER-IMMUNE CELLS-1,NO TREATMENT
64,D4_ISO1_LTL_2,D4,LIVER CD45+,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) LIVER-IMMUNE CELLS-2,NO TREATMENT
65,D3_ISO1_LP_1,D3,GUT LP CD45+,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) GUT-IMMUNE CELLS-1,NO TREATMENT
66,D3_ISO1_LP_2,D3,GUT LP CD45+,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) GUT-IMMUNE CELLS-2,NO TREATMENT
67,D3_ISO1_LTL_1,D3,LIVER CD45+,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) LIVER-IMMUNE CELLS-1,NO TREATMENT
68,D3_ISO1_LTL_2,D3,LIVER CD45+,ISOLATION (ISO) LOCAL COCULTURE,ISOLATION (ISO) LIVER-IMMUNE CELLS-2,NO TREATMENT
69,D4_INT_LP_PI_1,D4,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,POLY IC
70,D4_INT_LP_PI_2,D4,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,POLY IC
71,D4_INT_LP_LPS_1,D4,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,LPS
72,D4_INT_LP_LPS_2,D4,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,LPS
73,D4_INT_LP_5OP_1,D4,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,5OP-RU
74,D4_INT_LP_5OP_2,D4,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,5OP-RU
75,D4_INT_LP_C_1,D4,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,NO TREATMENT
76,D4_INT_LP_C_2,D4,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,NO TREATMENT
77,D3_INT_LP_PI_1,D3,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,POLY IC
78,D3_INT_LP_PI_2,D3,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,POLY IC
79,D3_INT_LP_LPS_1,D3,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,LPS
80,D3_INT_LP_LPS_2,D3,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,LPS
81,D3_INT_LP_5OP_1,D3,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,5OP-RU
82,D3_INT_LP_5OP_2,D3,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,5OP-RU
83,D3_INT_LP_C_1,D3,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,NO TREATMENT
84,D3_INT_LP_C_2,D3,GUT LP CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,NO TREATMENT
85,D3_INT_LTL_PI_1,D3,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,POLY IC
86,D3_INT_LTL_PI_2,D3,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,POLY IC
87,D3_INT_LTL_LPS_1,D3,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,LPS
88,D3_INT_LTL_LPS_2,D3,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,LPS
89,D3_INT_LTL_5OP_1,D3,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,5OP-RU
90,D3_INT_LTL_5OP_2,D3,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,5OP-RU
91,D3_INT_LTL_C_1,D3,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,NO TREATMENT
92,D3_INT_LTL_C_2,D3,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,NO TREATMENT
93,D4_INT_LTL_PI_1,D4,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,POLY IC
94,D4_INT_LTL_PI_2,D4,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,POLY IC
95,D4_INT_LTL_LPS_1,D4,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,LPS
96,D4_INT_LTL_LPS_2,D4,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,LPS
97,D4_INT_LTL_5OP_1,D4,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,5OP-RU
98,D4_INT_LTL_5OP_2,D4,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,5OP-RU
99,D4_INT_LTL_C_1,D4,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-1,NO TREATMENT
100,D4_INT_LTL_C_2,D4,LIVER CD45+,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,INTERACTION (INT) GUT-LIVER-IMMUNE CELLS-2,NO TREATMENT
101,D4_ISO6_LP_1,D4,GUT LP CD45+,ISOLATION (ISO) PURE,ISOLATION (ISO)- ONLY GUT LP-1,NO TREATMENT
102,D4_ISO6_LP_2,D4,GUT LP CD45+,ISOLATION (ISO) PURE,ISOLATION (ISO)- ONLY GUT LP-2,NO TREATMENT
103,D4_ISO6_LTL_1,D4,LIVER CD45+,ISOLATION (ISO) PURE,ISOLATION(ISO)- ONLY LIVER TISSUE LYMPHOCYTES (LTL)-1,NO TREATMENT
104,D4_ISO6_LTL_2,D4,LIVER CD45+,ISOLATION (ISO) PURE,ISOLATION(ISO)- ONLY LIVER TISSUE LYMPHOCYTES (LTL)-2,NO TREATMENT
105,D4_ISO7_IEL_1,D4,GUT EPI CD45+,ISOLATION (ISO) PURE,ISOLATION (ISO)- ONLY GUT IEL-3,NO TREATMENT
106,D4_ISO7_IEL_2,D4,GUT EPI CD45+,ISOLATION (ISO) PURE,ISOLATION (ISO)- ONLY GUT IEL-4,NO TREATMENT
