GeneSymbol	D3_ISO7_IEL_1	D3_ISO7_IEL_2	D4_ISO7_IEL_1	D4_ISO7_IEL_2
BID	0	0	0	0
MATR3_ENSG00000015479	105.03	13.17	0	119.42
NPC1L1	0	0	0	0
XYLT2	17.37	0	0	0
RGPD5	0	108.41	0	0
STMN4	0	0	0	0
NUDCD3	1.16	30.2	0	0
ISL1	0	0	0	0
CHDH	0	0	0	0
IL20RA	0	0	0	0
CLCA1	0	0	0	0
CLCA4	0	0	0	0
GLT8D1	0	0	0	0
ATP2C1	2.72	5	0	0
IGF1	0	2.83	0	0
SLC38A5	0	0	0	0
RALBP1	0	3.8	0	0.73
RUFY3	0	12.2	0	0
CNTN1	0	0	0	0
SLC11A1	16.88	2.39	0	0
WWTR1	0	0	0	0
AGPS	0.97	0	0	4.44
ZNF285CP_ENSG00000018607	0	0	0	0
CXorf56	0	0	0	0
ATP1A2	0	32.82	0	0
TTC27	0	0	0	0
ZNF582	0	0	0	0
VSIG2	0	0	0	0
PHLDB1	0	67.3	0	19.46
MARCO	0	0	0	0
CYP24A1	0	0	0	0
PRDM11	13.48	17.32	0	0
SYT13	0	0	0	0
SNAI2	6.63	0	0	0
CD74	450.67	422.58	1110.22	1126.22
HGF	40.22	0	0	0
ZRANB1	0	0.25	0	22.61
NCDN	0	0	0	0
ADGRA2	0	0	0	0
CCT8L1P_ENSG00000020219	0	0	0	0
ZFP64	32.36	0.13	0	0
MNAT1	0	0	0	0
SAMD4A	24.51	0.05	0	0
RUNX3	91.31	34.24	0	56.69
MRE11	41.69	17.61	0	0
PLEKHB1	0	0	0	0
SERPINB1	0	26.84	0	0
CYP3A43	0	0	0	0
SLC7A9	0	5.73	0	0
SPAST	37.89	0	0	0
NRXN3	0	0.17	0	0
OSBPL5	0	0	0	0
AQR	10.19	30.79	0	0
CPS1	44.88	0	0	0
C8B	0	0	0	0
FHL1	0	0	0	0
RTF2	3.26	0.26	464.86	0
GABRA1	32.51	0	0	0
NLRP2	94.49	0	0	0
SLC45A4	0	100.58	0	0
RNF10	42.76	288.8	0	1074.86
ZNF839	0	0	0	0
ZDHHC6	0	55.63	0	0
GRAMD1B	21.42	38.96	0	0
RNH1	17.08	14.62	0	0
NDUFS1	67.49	11.03	0	31.68
RB1CC1	3.93	138.37	0	118.54
ERP44	14.99	10.72	0	0
ALAS1	57.81	357	0	0
BIRC3	47.25	115.02	0	157.44
AKAP11	1.66	1.5	0	6.5
GLRX2	0	0	0	0
SNAPC1	3.93	16.12	0	0
DERA	0	0	0	0
STRAP	18.04	9.11	0	0
ABCC2	2.52	8.05	0	0
DEF6	78.49	0.17	0	0
PLEKHO1	219.37	5.18	0	0
GCLM	0	2.56	0	0
UBR2	10.35	10.92	0	6.28
EHD2	0	0	0	0
DEPDC1	3.35	0	0	0
CCDC28A	0	0	0	0
RRAGD	0	0	0	0
HSF2	41.96	3.65	0	0
PHF20	167.23	0	0	0
HSD17B6	0	0	0	0
NR1H3	0	0	0	0
TYMP	73.01	88.32	0	0
NCAPH2	138.59	0	0	0
TOMM34	0	0	0	0
SEC63	24.82	0.16	0	0
KPNA6	7.42	0	0	18.54
VIM	391.24	337.03	0	708.56
RTEL1-TNFRSF6B_ENSG00000026036	0	0	0	0
FAS	30.82	9.81	0	34.36
RNASET2	10.48	32.38	0	0
CD44	105.56	118.51	0	257.33
KCNG1	0	0	0	0
AGPAT4	5.66	0	0	0
SLAMF7	79.1	20.52	0	99.41
BTN3A1	22	12.84	0	0
MIPEP	0	0	0	0
PRKCH	17.08	109.35	0	15.61
INSRR	0	0	0	0
IFNGR1	0	0	0	451.18
