GeneSymbol	D3_ISO1_HEP_L_1	D3_ISO1_HEP_L_2	D3_ISO2_HEP_1	D3_ISO2_HEP_2	D3_INT_HEP_PI_1	D3_INT_HEP_PI_2	D3_INT_HEP_LPS_1	D3_INT_HEP_LPS_2	D3_INT_HEP_5OP_1	D3_INT_HEP_5OP_2	D3_INT_HEP_C_1	D3_INT_HEP_C_2	D3_INT_HEP_GL_C
RPS20	581.16	583.4	610.02	556.51	365.57	307.91	354.21	340.59	347.79	333.02	360.64	345.31	342.15
CSDE1	72.92	87.32	109.04	91.28	71.5	59.69	71.4	62.19	72.31	64.28	81.84	72.03	70.2
UBE3C	27.35	25.93	37.92	34.49	20.72	17.83	14.29	21.48	27.08	16.01	20.97	20.22	18.22
REV3L	2.78	3.35	4.43	2.79	1.1	2.19	2.98	1.45	4.18	1.71	1.44	1.59	1.42
TENM1	0.33	0.11	0.25	0.11	0.06	0.01	0.04	0.05	0.05	0.25	0.08	0.06	0.05
PAX7	0.15	0.14	0.01	0.04	0.01	0.02	0	0	0.08	0.02	0.08	0.01	0.12
MASP2	8.57	8.33	14.68	10.29	4.63	8.99	5.32	7.14	7.53	4.36	5.84	5.81	6.22
IYD	0.44	0.25	1.26	1.22	1.19	1.8	1.56	0.77	0.42	0.79	0.89	0.86	1.13
FAM76A	2.23	2.04	2.65	3.08	2.06	3.02	1.66	1.08	1.34	1.43	1.22	1.54	1.62
TRAF3IP3	1.31	1.98	0.65	1.29	0.34	0.76	0.51	0.15	1.02	0.67	0.3	0.51	0.16
POMT2	2.78	3.54	5.24	5.09	2.87	3.72	2.06	2.37	3.17	3.65	3.92	2.78	2.93
VTA1	10.91	10.91	14.21	11.89	8.24	8.23	8.07	9.09	7.74	7.72	8.71	7.8	6.95
MLXIPL	4.79	4.82	2.88	2.97	5.16	4.92	5.82	4.35	5.87	4.64	5.25	4.06	5.15
BAZ1B	17.06	19.67	20.64	17.25	12.9	11.82	13.44	10.81	13.41	11.47	14.01	11.9	11.94
RANBP9	5.64	6.23	7.33	5.85	5.1	5.31	4.84	4.22	4.52	4.58	4.24	4.22	4.35
ETV7	7.23	7.09	0.34	0.2	0.76	0.9	1.13	1.02	0.77	0.22	0.92	0.99	0.05
SPRTN	6.77	4.95	6.45	5.9	4.78	3.62	4.2	3.75	3.81	3.79	5.38	4.13	5.21
EEF1AKNMT	4.71	4.16	5.61	4.3	4.23	4.71	4.49	4.14	4.83	4.03	4.41	5.48	3.8
DYRK4	10.22	11.92	6.25	11.11	6.48	8.2	5.17	6.79	5.78	5.32	7.85	5.77	4.61
ZNF207	37.46	38.23	42.14	36.62	21.14	20.5	19.54	18.95	20.15	20.57	21.15	19.14	21.09
UQCRC1	31.47	31.82	37.06	35.73	39.9	30	33.48	33.52	34.04	30.82	30.44	31.74	39.19
STARD3NL	6.2	7.28	8.12	6.48	3.27	4.43	4.65	4.46	4.12	4.61	4.54	4.83	4.47
CD9	29.69	29.22	44.79	41.88	26.57	23.15	23.33	18.29	23.62	17.88	22.31	27.19	28.14
HHATL	0.12	0.16	0.21	0.05	0	0	0	0	0.07	0.13	0.18	0.07	0.25
NCAPD2	9.41	11.96	9.67	7.53	4.95	3.25	4.7	3.67	5.47	3.65	4.63	3.81	2.18
IFFO1	1.37	1.98	1.16	1.31	0.68	0.68	0.86	0.5	0.76	0.61	0.81	0.85	0.74
GIPR	0.71	0.37	0.24	0.35	0.11	0.2	0.49	0.03	0.14	0.21	0.19	0.37	0.21
PHF7	1.76	3.24	2.63	2.28	1.82	0.86	1.26	1.46	1.23	1.27	1.31	1.84	1.85
SEMA3G	0.06	0.08	0	0.06	0.02	0	0.06	0.04	0.01	0.05	0.02	0.03	0.06
NISCH	3.4	4.81	5.42	4.79	3.3	4.82	3.8	3.23	3.86	3.8	4.59	4.95	4.02
STAB1	6.45	7.41	7.73	10.92	0.21	0.2	0.06	0.05	0.28	0.27	0.28	0.12	0.05
FUZ	0.73	0.99	0.37	0.78	0.25	1.16	0.33	0.22	0.55	0.14	0.23	0.08	0.35
SLC6A13	0.24	0.33	0.29	0.51	0.21	0.27	0.37	0.13	0.13	0.04	0.33	0.02	0.17
IDS	7.61	8.28	10.75	8.54	9.11	9.74	9.98	9.09	10.26	9.46	10.83	10.9	13.53
PRSS3	13.64	11.3	12.47	9.47	17.41	21.35	17.2	19.9	20.8	22.01	19.9	21.43	20
ZNF200	2.81	2.61	1.95	2.21	1.24	1.54	1.34	1.31	2.12	1.31	1.02	1	0.94
CD4	2.74	4.51	1.44	2.64	0.74	0.37	0.27	0.16	0.53	0.58	0.47	0.22	0.52
LRRC23	0.86	1.34	0.26	0.58	1.17	0.12	0.35	1.27	0.68	1.48	0.92	0.8	0.86
BTK	0.77	1.31	0.67	0.74	0.22	1.05	0.24	0.12	0.02	0.12	0.1	0.02	0.24
HFE	3.29	3.8	4.45	3.49	3.52	4.33	3.22	3.02	3.42	3.56	3.58	2.63	2.08
SCMH1	3.25	4.29	5.19	4.11	1.55	1.55	3.15	2.03	3.02	1.76	3.08	2.65	2.18
FYN	5.29	7.46	7.14	5.39	1.51	3.22	1.58	1.32	2.42	1.27	2.09	2.5	2.28
HIVEP2	8.43	8.8	6.02	4.87	4.59	3.94	4.71	4.34	5.45	5.19	6.37	4.74	5.99
FMO1	0.06	0.29	0.23	0.12	0.02	0	0.02	0.01	0.01	0.03	0	0.09	0.11
ELOA	13.9	14.65	16.29	14.61	15.2	15.35	16.96	14.03	16.78	17.45	16.47	15.21	16.14
LYPLA2	13.84	12.4	15.54	15.49	13.74	18.46	15.56	12.57	13.77	12.75	14.75	13.6	15.32
CLCN6	1.78	2.42	1.63	1.69	1.4	2.2	1.88	1.15	1.36	0.95	1.61	1.26	1.71
MRC2	0.49	0.71	0.99	0.53	0.25	0.11	0.22	0.26	0.25	0.14	0.18	0.07	0.47
NME1-NME2_ENSG00000011052	0.55	1.28	1.64	0.65	1.71	2.11	1.31	1.14	0.67	1.76	1.43	1.3	1.53
SLC6A7	0.35	0	0.01	0.21	0.01	0	0	0	0	0.11	0.04	0.06	0.11
TSPAN9	3.5	3.83	4.35	3.39	3.21	2.27	4.73	4.01	3.84	3.08	3.79	4.33	3.06
BTBD7	5.89	6.28	7.57	6.44	3.98	5.27	3.82	4.31	5.02	4.8	4.86	4.24	5.04
APBA3	2.12	2.86	2.62	1.93	3.51	3.79	4.25	3.59	4.93	3.31	4.92	3.44	4.19
MKS1	1.45	1.54	3.67	1.54	1.35	0.62	1.25	1.88	1.55	1.69	1.14	1.83	1.1
ABHD5	4.05	6.29	12.02	7.07	6.88	6.52	5.67	5.18	6.13	5.73	7.68	5.42	8.87
ANOS1	0.27	0.25	0.64	0.26	0	0.02	0	0.06	0.13	0.04	0.05	0.11	0.09
AKAP8L	7.72	8.59	9.22	7.16	12.27	10.08	12.17	9.06	13.5	10.27	11.33	10.09	10.99
MBTD1	1.31	2.02	1.69	1.4	0.96	0.98	0.9	0.99	1.03	0.83	0.85	0.71	1.06
UTP18	11.63	12.28	14.95	11.79	12.76	10.53	8.35	8.09	8.82	6.98	8	7.07	8.66
RNF216	4.37	5.65	5.63	5.35	4.33	3.17	5.02	3.71	4.5	4.19	5.4	4.16	4.29
TTC19	4.7	5.29	8.87	6.38	4.19	4.97	3.3	3.12	3.2	3.19	3.95	3.02	4.29
PTBP1	40.37	42.38	42.05	37.46	34.7	30.6	31.09	24.23	32.69	22.25	28.03	22.79	31.19
DPF1	0.04	0.17	0.04	0.06	0	0	0.06	0.02	0	0.06	0.05	0.01	0.03
SYT7	0.26	0.41	1.05	0.55	0.62	0.56	0.38	0.38	0.72	0.41	0.43	0.39	0.41
LARS2	2.5	2.53	2.14	2.17	1.72	1.94	2.24	1.8	1.91	1.7	2.18	2.19	1.5
PIK3C2A	6	8.85	8.23	6.89	4.11	3.15	4.44	4.4	3.85	4.17	5.03	4.6	4.23
PLAUR	19.96	18.54	8.65	8.23	5.29	6.27	4.49	3.82	5.23	3.15	3.84	3.5	4.67
ANLN	19.47	23.17	36.88	18.79	5.82	5.37	2.54	3.88	3.36	2.04	3.69	3.26	1.92
WIZ	3.13	3.58	4.07	3.41	3.61	4.18	4.09	3	4.37	2.15	2.85	2.32	3.94
RABGAP1	3.04	3.51	5.11	3.23	1.96	1.8	1.89	1.76	2.18	1.9	2.31	1.84	2.18
DCN	10.48	11.21	5.93	6.98	3.56	1.72	2	3.89	2.25	2.92	1.85	3.2	2.84
QPCTL	0.98	0.76	1.6	1.38	1.2	0.86	1.4	1.09	2	1.01	0.88	1.14	1.39
PPP5C	23.2	22.34	30.82	27.45	25.18	21.38	21.93	21.57	23.29	20.42	24.73	22.05	22.94
CEP68	1.82	1.67	1.6	1.66	0.89	1.15	1.26	0.67	1.01	1.16	1.39	1.18	1.85
MAP4K3	4.29	5.15	5.84	7.4	3.32	3.61	2.97	2.62	3.04	2.96	3.71	2.99	3.51
ZBTB32	0.72	1.01	0.21	0.12	0.09	0	0.18	0.03	0.2	0.27	0.05	0.05	0.18
TYROBP	37.63	43.19	29.35	37.34	5.14	2.33	2.33	0.86	4.1	2.08	3.95	1.28	1.45
TMEM159	0.22	0.47	1.65	0.73	0.7	0.61	0.48	0.56	0.68	0.88	0.73	0.38	0.73
GABRA3	0.14	0.02	0.05	0.03	0.01	0	0	0	0	0.03	0.01	0.01	0.03
BRCA1	3.96	4.47	3.92	4.57	1.29	0.91	0.93	0.84	1.29	1.03	1.27	1.29	0.99
ERCC1	10.42	11.9	18.98	12.02	12.74	11.7	12.06	13.85	13.35	13.63	16.02	13.38	16.01
CD22	1.45	0.75	2	0.98	0.75	0.11	0.28	0.49	0.94	0.5	1	0.58	1.03
SEMA3B	0.45	0.31	0.2	0.27	0.16	0.18	0.17	0.12	0.22	0.16	0.41	0.16	0.22
MBTPS2	2.62	2.56	3.23	3.45	1.66	1.52	1.58	1.53	1.65	1.72	1.71	1.72	1.78
PRICKLE3	0.68	1.56	0.65	1	1.98	1.67	1.08	1.28	1.45	1.25	0.84	0.81	1.15
LTF	0.14	0.07	0	0.13	0.04	0.83	0.02	0.01	0.32	0.06	0.02	0.01	0.01
EXTL3	3.01	3.76	4.04	3.66	4.14	2.97	3.25	2.78	3.53	3.06	3.18	3.26	4.17
NR1H4	8.43	11.43	13.31	12.17	8.44	7.5	8.49	7.18	8.15	8.98	8.46	9.28	6.52
ELOVL5	23.25	22.43	27.73	20.78	16.8	16.73	16.55	13.86	15.28	16.51	16.16	15.72	16
ALOX5	2.07	2.49	2.09	1.94	0.06	0.03	0.07	0.02	0.17	0.04	0.09	0.12	0.01
KDM5D	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0
CALCOCO1	3.49	3.99	4.82	3.87	7.04	2.74	3.79	4.66	3.88	2.75	4.37	3.25	3.63
UBR7	9.52	9.71	10.46	9.62	3.87	5.83	3.01	4.8	4.88	2.54	3.04	3.2	3.81
MAP4K5	5.56	5.45	6.78	5.38	5.46	5	3.87	3.07	4.52	3.34	4.19	3.97	4.45
EHD3	0.32	0.28	0.31	0.31	0.07	0.13	0.1	0.04	0.13	0.06	0.13	0.16	0.12
PSMC4	36.24	38.59	44.12	36.94	40.9	41.89	41.92	43.54	43.31	39.89	42.15	40.93	42.19
MAN2B2	4.76	5.5	5.97	5.07	3.32	3.16	3.61	2.94	3.52	2.79	3.09	3.04	15.85
SLC7A14	0.12	0.03	0.03	0.02	0.02	0	0.01	0	0	0	0.04	0.02	0.02
CLDN11	0.54	0.63	0.01	0.22	0.26	0.18	0.15	0.03	0	0	0.11	0.07	0.13
SLC25A39	16.98	16.74	22.54	21.53	21.41	19.99	22.11	21.98	27.74	19.14	23.01	20.88	20.08
MVP	37.16	43.73	36.12	27.02	36.37	39.46	40.43	34.74	41.71	33.61	35.69	33.61	39.08
NUB1	67.13	71.31	37.01	33.97	36.42	30.24	29.75	26.74	27.89	25.85	29.47	25.96	22.14
PGM3	18.28	22.39	26.71	23.08	16.21	14.79	17.47	13.89	15.43	14.6	15.94	15.95	15.35
RWDD2A	0.66	0.76	0.76	0.73	0.46	0.24	0.4	0.3	0.33	0.32	0.39	0.39	0.47
CLK1	8.24	9.43	7.13	6.21	4.44	3.46	3.94	4.24	4.9	4.18	5.64	3.58	5.08
POLR3B	3.99	4.41	6.28	4.06	2.77	2.22	3.09	3.04	2.31	2.4	3.93	3.32	2.33
ANGEL1	1.37	1.31	1.44	1.53	1.11	1.41	1.9	1.58	1.72	1.31	1.68	1.41	1.72
RNF14	14.82	14.47	19.9	18.65	19.29	15.27	16.76	17.67	18.46	19.17	20.51	20.95	22.12
DNASE1L1	3.22	2.73	3.81	2.72	2.14	3.84	1.99	1.89	2.35	1.79	1.73	1.96	1.48
DDX11	4.59	5.3	4.91	3.54	2.64	3.02	2.33	2.67	2.72	2.08	2.46	1.73	2.19
HEBP1	18.4	20.4	25.48	17.77	24.37	25.1	20.32	19.57	21.13	22.38	20.18	20.24	23.97
GPRC5A	1.06	0.89	4.05	2.26	2.38	1.15	1.19	1.08	2.57	1.17	2.23	1.7	2.55
MAMLD1	1.64	2.22	3	2.46	1.11	1.91	1.77	1.31	1.99	1.26	2.13	1.83	1.85
CD6	1.49	1.08	0.57	0.13	0.16	0.01	0.17	0.15	0.79	0.21	0.2	0.09	0
TACC3	18.12	15.1	18.01	15.21	5.14	4.03	5.09	4.82	4.33	2.24	6.8	3.75	3.2
UFL1	8.2	10.55	10.39	9	4.77	4.98	4.33	4.79	4.13	4.28	4.96	4.3	4.82
POLA2	5.26	5.4	3.65	4	2.02	1.41	2.07	1.68	2.15	1.09	2.16	1.23	1.38
ZC3H3	3.3	3.41	3.45	3.63	3.71	4	4.11	2.86	4.51	2.61	3.22	2.82	3.35
CAPN1	29.14	32.13	33.67	30.19	29.16	30.43	35.95	28.44	36.48	28.33	33.23	32.56	34.94
ACPP	0.59	0.52	0.7	0.29	0.01	0.01	0.05	0.02	0.18	0	0.09	0.3	0.03
MDH1	44.29	40.63	43.11	40.74	27.22	24.8	23.75	22.03	21.31	24.31	26.33	22.74	20.69
SLC30A9	13.86	17.46	18.77	19.71	9.19	8.54	6.95	5.48	8.21	5.8	8.28	7.58	8.63
MTMR11	3	4.06	1.74	1.75	3.7	4.62	4.22	3.36	3.97	3.85	3.32	4.56	2.79
COX15	5.46	7.86	8.34	7.1	5.94	4.99	6.16	5.06	4.81	5.47	5.05	4.66	5.57
CCDC88C	1.53	2.51	2.45	2.68	1.44	0.67	0.63	1.38	0.82	1.22	0.99	1.15	0.73
YAF2	3.53	7.67	5.97	6.48	4.53	3.95	3.31	3.45	5.01	3.14	4.5	3.12	4.28
ZMYND11	11.57	13.15	19.04	16.37	10.06	13.17	10.42	9.46	10.18	10.92	12.35	10.23	11.61
WAS	2.14	1.72	1.83	1.75	0.34	0	0.6	0.4	1.39	0.14	0.7	0.21	0.11
DPEP1	0.02	0.03	0	0	0.06	0	0.07	0	0	0.01	0.07	0	0
BID	29.14	31.45	27.28	29.23	28.52	26.6	30.14	29.19	31.17	32.05	31.6	30.2	32.84
MATR3_ENSG00000015479	53.36	51.49	65.05	54.29	29.32	33.81	26.97	23.92	29.49	22.06	29.8	27.06	23.86
NPC1L1	4.68	5.51	6.25	6.15	4.46	5.18	5.84	5.26	6.22	5.2	6.1	5.54	5.5
XYLT2	1.49	5.79	2.59	2.14	2.22	3.22	2.33	1.91	2.24	1.81	2.03	2.2	2.27
RGPD5	4.91	4.59	5.1	2.56	5.93	5.91	6.81	3.17	2.48	2.36	4.73	3.66	3.54
STMN4	0.27	0.11	0.03	0.05	0	0	0	0	0.13	0	0.07	0.1	0
NUDCD3	9.68	9.87	15.92	13.11	6.56	12.45	8.59	10.49	9.54	7.35	11.02	7.83	9.1
ISL1	0.05	0.06	0.03	0.06	0.03	0	0	0	0	0.01	0.02	0	0.02
CHDH	1.08	1.17	1.72	1.83	1.29	1.64	1.31	1.43	1.44	1.12	1.29	1.15	1.48
IL20RA	0.25	0.02	0.04	0.07	0.01	0.11	0	0	0.01	0	0.04	0.04	0
CLCA1	0.01	0.01	0	0.01	0.01	0	0	0	0.01	0	0	0	0
CLCA4	0.02	0.23	0.06	0	0.09	0.02	0	0.01	0.01	0.01	0	0	0
GLT8D1	4.97	5.75	5.99	6.26	3.53	3.53	4.13	3.73	3.05	4	3.78	4.35	3.16
ATP2C1	13.97	16.58	18.02	17.45	13.09	12.34	13	10.23	13.94	11.12	12.47	13.03	13.56
IGF1	16.87	22.3	17.68	17.13	12.39	14.98	15.2	15.38	15.18	16.94	17.04	16.65	16
SLC38A5	1.58	1.35	0.81	0.56	0.41	0.81	0.53	0.51	0.67	0.1	0.71	0.98	0.63
RALBP1	12.04	14.58	18.41	13.99	9.3	8.84	9.45	7.71	8.97	8.2	10.98	7.81	9.75
RUFY3	12.05	14.8	15.26	12.5	9.73	9.35	12.04	10.87	10.08	11.03	13.55	11.08	10.78
CNTN1	0.05	0.01	0	0.08	0	0	0	0.01	0.01	0.01	0.01	0.01	0.15
SLC11A1	1.1	0.76	2.56	2.27	0.45	0.23	0.06	0.09	0.48	0.08	0.54	0.25	0.11
WWTR1	7.97	9.25	7.35	7.18	10.35	11.19	8.25	6.97	9.17	6.2	7.55	8.72	10.55
AGPS	16.68	16.3	24.74	20.29	19.39	19.19	12.99	9.27	12.71	12.38	13.37	11.89	15.55
ZNF285CP_ENSG00000018607	0.02	0.07	0	0.03	0	0	0	0	0	0.01	0	0	0
CXorf56	3.05	4.02	4.15	4.12	4.76	2.73	2.79	2.91	2.51	2.99	3.58	3.05	3.07
ATP1A2	0.1	0.19	0.15	0.15	0.01	0	0.01	0	0.04	0.05	0.04	0.26	0.03
TTC27	5.81	3.89	8.06	6.32	3.99	6.43	3.39	2.67	2.99	3.2	3.99	3.62	3.09
ZNF582	0.29	0.46	0.46	0.58	0.2	0.09	0.45	0.12	0.37	0.04	0.75	0.38	0.36
VSIG2	0.03	0.06	0.04	0.03	0.19	0	0.04	0.05	0.08	0.08	0.09	0.14	0
PHLDB1	1.65	1.6	2.08	2.51	1.47	1.87	1.3	0.7	1.88	0.51	1.3	1.32	1.96
MARCO	4.3	7.13	8.4	9.4	0.37	0.42	0.82	0.34	0.39	0.18	0.69	0.11	0.69
CYP24A1	0.05	0.2	0.24	0.03	0.03	0	0.01	0.01	0.1	0	0.01	0.31	0.04
PRDM11	0.44	0.5	0.51	0.54	0.59	0.33	0.21	0.47	0.43	0.26	0.32	0.3	0.27
SYT13	0.12	0.24	0.25	0.09	0.15	0.56	0.26	0.05	0.14	0.15	0.13	0.29	0.11
SNAI2	1.77	1.86	5.45	4.06	4.51	4.07	2.72	2.24	3.39	2.86	3.15	1.87	4.26
CD74	381.42	398.49	74.41	86.35	48.08	50.41	66.52	55.53	61.12	48.68	47.83	47.07	10.96
HGF	2.47	2.67	3.31	2.06	0.88	0.71	0.91	0.67	0.66	0.42	0.73	0.48	0.15
ZRANB1	2.84	3.88	5.6	4.37	3.46	3.18	2.86	2.96	3.6	3.67	3.72	3.1	4.07
NCDN	1.57	1.91	2.26	1.95	2.38	2.28	2.89	2.05	2.81	1.63	2.21	1.52	2.15
ADGRA2	0.05	0.05	0.15	0.16	0.07	0.04	0.08	0.01	0.04	0.01	0.03	0.01	0.04
CCT8L1P_ENSG00000020219	0.3	0.05	0	0	0.03	0	0	0.08	0.03	0.02	0.04	0.09	0.07
ZFP64	2.4	3.14	2.93	2.35	3.14	2.5	2.74	2.84	3.03	2.58	2.66	2.63	3.2
MNAT1	12.66	11.2	15.83	13.04	8.55	12.25	7.22	8.76	6.82	9.55	8.13	7.93	10.29
SAMD4A	7.62	9.09	8.55	8.46	6.79	7.72	5.82	3.93	6.62	4.18	5.64	3.86	6.3
RUNX3	1.27	1.54	0.55	0.56	0.16	1.11	0.18	0.27	0.22	0.1	0.19	0.12	0.22
MRE11	5.65	4.94	3.63	4.26	3.13	3.54	3.43	2.38	3.28	2.11	3.46	3	3.34
PLEKHB1	0.28	0.33	0.21	0.15	0.1	0	0.03	0.04	0.06	0.05	0.07	0.03	0.02
SERPINB1	42.2	45.43	48.74	33.02	22.52	22.69	19.09	16.98	16.34	16.14	22.36	18.83	17.25
CYP3A43	0.13	0.1	0.06	0.02	0	0.08	0.06	0.03	0.03	0.21	0.03	0.11	0
SLC7A9	1.89	2.13	2.6	2.35	1.33	3.2	1.15	2.12	1.47	1.17	1.49	1.63	1.18
SPAST	2.71	2.64	2.88	2.57	2.22	2.38	2.03	1.71	1.58	1.78	1.91	2.23	2.08
NRXN3	0.21	0.42	0.07	0.26	0.19	0.02	0	0.01	0.18	0.21	0.1	0.22	0.68
OSBPL5	1.6	1	0.24	0.56	0.1	0.26	0.29	0.1	0.18	0.04	0.37	0.49	0.66
AQR	3.88	5.14	5.06	5.57	2.47	2.15	3.01	1.92	3.23	3.06	3.08	3.16	2.62
CPS1	20.76	25.62	83.9	77.88	36.69	37.68	55.56	45.34	40.98	39.95	48.45	48.73	34.01
C8B	11.99	14.42	10.53	9.79	4.81	4.26	4.55	4.97	4.41	4.19	4.44	4.12	3.08
FHL1	1.77	3.1	3.2	2.66	0.66	0.79	1.43	0.7	1.28	1.03	1.7	1.71	2.81
RTF2	24.66	28.65	29.67	32.08	25.11	26.01	25.44	24.84	29.09	22.1	28.57	27.62	24.45
GABRA1	0.14	0.1	0.18	0.04	0.01	0	0	0	0.01	0.01	0.22	0.35	0.04
NLRP2	0.98	0.75	0.4	0.43	0.1	0.26	0.07	0.16	0.42	0.03	0.09	0.19	0.07
SLC45A4	0.99	2.27	0.73	0.25	0.32	0.34	0.65	0.58	0.86	0.68	0.78	0.49	0.17
RNF10	60.23	57.8	54.32	71.98	62.42	84.66	82.51	74.73	91.58	89.35	85.42	92.26	92.75
ZNF839	1.71	1.99	2.32	2.01	1.49	1.97	1.77	1.1	1.78	1.02	1.31	1.59	1.29
ZDHHC6	7.2	6.81	7.99	7.51	4.13	4.29	3.53	3.18	3.64	3.96	4.93	5.08	4.04
GRAMD1B	1.19	0.85	0.25	0.45	0.22	0.31	0.14	0.13	0.1	0.2	0.29	0.17	0.05
RNH1	26.12	29.88	29.75	24.55	26.67	29.17	29.83	24.59	31.3	16.59	17.72	17.36	27.04
NDUFS1	24.76	26.3	34.63	30.31	21.97	16.93	19.96	18.52	18.84	17.53	21.49	20.32	20.23
RB1CC1	5.49	7.03	8.64	7.2	5.5	6.17	4.98	5.6	4.64	5.3	5.46	4.09	6.39
ERP44	15.24	17.77	15.43	14.4	8.01	9.73	11.1	8.43	8.36	9.75	9.92	9.34	9.05
ALAS1	58.41	57.38	57.81	58.56	155.61	163.67	193.37	155.7	174.26	174.74	185.68	161.62	136.82
BIRC3	282.26	363.52	44.11	39.17	44.9	34.19	66.09	46.4	50.46	54.94	48.41	51.43	29.13
AKAP11	3.98	4.86	4.67	4.17	2.44	1.49	2.49	2.2	2.57	2.45	2.87	2.34	2.37
GLRX2	5.24	4.39	7.11	6.9	4.43	3.28	3.5	3.03	4.12	3.28	3.15	2.47	3.96
SNAPC1	4.29	3.96	4.58	3.56	2.73	1.7	2.67	2.71	2.68	2.91	3.27	2.81	3.69
DERA	19.12	18.05	35.67	26.74	11.67	12.15	12.67	11.91	13.19	12.7	11.22	13.9	14.25
STRAP	34.7	33.96	58.12	45.91	34.73	31.74	30.72	28.22	31.02	31.29	32.72	29.92	35.69
ABCC2	40.76	50.23	52.59	49.49	62.16	57.08	80.78	69.49	88.79	72.84	83.24	76.75	72.93
DEF6	2.05	2.9	1.25	1.37	0.25	0.15	0.29	0.12	0.24	0.07	0.18	0.14	0.03
PLEKHO1	6.24	7.28	3.43	3.33	2.63	3.23	2.41	2.01	2.68	2.44	3.04	1.42	2.72
GCLM	18.57	20.3	30.12	23.89	34.24	27.83	33.46	34.37	32.19	34.85	38.51	36.57	35.03
UBR2	4.15	5.54	4.65	4.33	3.38	2.52	3.87	3.17	3.7	3.37	3.58	3.4	3.55
EHD2	4.17	3.86	7.92	4.84	4.43	4.06	4.61	2.41	5.4	2.96	3.89	3.42	5.78
DEPDC1	2.85	3.97	3.89	3.48	0.64	1.42	0.35	0.75	0.31	0.32	1.09	0.82	0.34
CCDC28A	2.4	2.84	3.45	2.45	2.66	2.07	2.4	2.62	2.21	2.53	2.92	2.08	2.41
RRAGD	3.42	3.34	5.31	2.68	2.34	3.45	2.19	2.47	2.03	2.34	2.67	1.78	2.43
HSF2	2.49	1.98	3.33	1.97	1.39	3.27	2.15	1.1	2.48	1.53	3.78	2.54	1.18
PHF20	5.59	6.47	5.85	4.61	2.37	3.16	2.35	2.76	2.62	2.53	3.11	2.99	2.62
HSD17B6	3.62	3.28	13.84	10.88	4.59	4.33	4	4.64	5.1	4.44	5.87	5.9	6.53
NR1H3	14.54	10.23	10.66	15.39	7.72	18.36	14.08	14.8	12.27	16.17	16.72	16.24	9.85
TYMP	129.81	147.84	33.38	26.56	67.52	73.67	82.44	49.69	76.67	31.09	31.59	29.67	41.77
NCAPH2	6.57	5.2	6.03	6.17	3.56	4.39	4.12	5.27	3.89	3.01	3.87	3.55	3.13
TOMM34	11.4	10.61	18.06	13.9	15.92	17.38	14.38	14.32	15.98	13.12	15.96	13.36	18.03
SEC63	15.86	22.29	25.34	19.51	13.37	10.49	14.46	11.86	12.1	10.26	15.39	15.95	13.48
KPNA6	5.75	6.38	7.79	6.41	5.24	4.19	5.67	5.14	5.89	5.06	6.11	5.21	5.84
VIM	172.99	194.69	221.5	172.59	92.61	76.66	89.88	68.24	110.27	57.1	91.06	78.79	108.52
RTEL1-TNFRSF6B_ENSG00000026036	0.61	0.15	0.23	0.53	0.05	0.23	0.19	0.18	0.13	0.04	0.16	0.04	0.21
FAS	13.44	14.85	16.78	14.34	13.32	9.1	11.31	9.85	10.01	10.3	12.65	13.6	11.98
RNASET2	7	8.35	7.51	6.79	4.23	4.4	5.18	3.77	4.74	3.62	3.84	4	3.39
CD44	75.48	94.35	62.61	53.45	41.06	43.72	30.94	32.86	39.96	31.93	34.42	34.4	38.23
KCNG1	0.06	0.22	0.04	0.18	0.09	0.07	0	0.02	0.11	0.03	0.07	0	0.02
AGPAT4	0.5	0.52	0.34	0.41	0.12	0	0.05	0.07	0.04	0.04	0.22	0.17	0.12
SLAMF7	8.77	12.41	0.31	0.61	0.88	0.48	0.85	0.31	0.53	0.34	0.7	0.42	0.4
BTN3A1	4.98	5.75	2.09	1.56	1.81	2	2.32	1.84	2.31	1.85	2.39	2.01	1.21
MIPEP	4.26	4.74	6.58	5.06	3.02	4.05	2.45	2.24	2.79	1.48	2.04	2.4	2.34
PRKCH	3.41	3.46	1.98	2.27	2.83	0.71	0.74	0.53	1.39	1.01	1.26	0.45	0.76
INSRR	0.04	0.03	0.01	0	0	0	0	0	0.03	0	0	0.01	0
IFNGR1	39.22	49.11	33.4	25.37	17.55	18.55	17.09	17.63	18.12	20.97	21.85	20.09	17.66
B4GALT7	3.02	3.12	2.31	2.6	2.67	2.47	2.65	2.64	2.87	2.14	2.48	2.62	2.31
SH2D2A	3.32	2.62	0.3	0.29	0.37	0.83	0.42	0.43	0.5	0.13	0.49	0.46	0.29
VRK2	7.84	8.37	8.9	7.54	4.43	4.36	3.68	4.27	3.89	3.59	4.42	3.61	4.26
TNFRSF1B	14.33	15.84	8.8	8.72	8.5	9.05	9	6.42	9.56	6.68	6.46	9.12	4.61
VEZT	14.45	17.31	21.58	17.17	12.13	10.18	10.54	9.94	11.42	9.65	10.62	10.26	11.68
POU2F2	0.38	2.41	0.54	0.41	0.08	0.02	0.27	0.14	0.32	0.08	0.14	0.07	0.15
BRD9	5.82	6.96	8.08	6.31	5.98	6	6.34	5.67	6.95	5.74	6.59	5.43	5.49
