GeneSymbol	D3_ISO1_HEP_L_1	D3_ISO1_HEP_L_2	D3_ISO2_HEP_1	D3_ISO2_HEP_2	D3_INT_HEP_PI_1	D3_INT_HEP_PI_2	D3_INT_HEP_LPS_1	D3_INT_HEP_LPS_2	D3_INT_HEP_5OP_1	D3_INT_HEP_5OP_2	D3_INT_HEP_C_1	D3_INT_HEP_C_2	D3_INT_HEP_GL_C
DNAH9	1.52	0.78	0.01	0.26	0.17	0.07	0	0.17	0.28	0.08	0.42	0.34	0.46
KIAA0100	22.91	22.15	33.71	21.68	23.42	25.18	22.84	21.86	27.81	21.43	27.06	24.3	19.03
SLC13A2	0.18	0.13	0.04	0.01	0.11	0	0	0	0.02	0	0.03	0.01	0
GAS7	2.23	3.31	2.55	2.42	0.12	0.07	0.42	0.01	0.1	0.01	0.22	0.15	0.05
TRAPPC6A	1.45	2.25	2.52	1.89	1.1	1.97	1.61	2.04	1.88	1.45	1.29	1.07	1.57
MATK	1.52	1.3	0.56	0.21	0.19	0	0.01	0	0.06	0.08	0	0.09	0
CEACAM7	0.42	0.08	0	0.06	0.01	0	0	0.19	0	0.17	0.11	0	0
CD79B	0.53	0.52	0.42	0.08	0.84	0	0.02	0	0.24	0.08	0.32	0.27	0.47
SCN4A	0.05	0.25	0.17	0.12	0.01	0.02	0.01	0.02	0.02	0.06	0.04	0.04	0.03
ST7L	3.71	6.81	5	5.44	3.51	4.68	2.72	4.23	3.04	3.48	2.61	3.66	3.82
TKTL1	0.06	0.1	0.03	0.22	0	0	0	0.03	0.01	0.02	0.02	0.04	0
PAX6	0.69	0.39	0.11	0.21	0.15	0.45	0	0.19	0.18	0.11	0.26	0.05	0.15
RPUSD1	3.41	3.79	5.18	3.15	3.04	4.81	3.28	2.23	5.28	1.16	1.15	0.86	2.92
RHBDF1	1.25	1.82	2.98	1.75	1.01	2.37	2.37	1.58	2.7	1.78	2.45	2.64	2.68
LUC7L	7.67	9.08	8.86	10.85	6.21	5.26	4.65	4.7	6.16	3.87	4.43	4.56	4.8
