GeneSymbol	D3_INT_EPI_GL_C	D3_ISO2_EPI_1	D3_ISO2_EPI_2
RANBP3	10.41	15.8	16.89
ARID4A	2.26	4.07	4.16
EIPR1	3.07	3.04	2.63
PNPLA6	16.26	13.06	14.35
IFT88	1.19	1.43	1.19
ALG1	1.81	0.86	1.35
ZCCHC8	1.08	2.63	2.08
ABCF2	1.01	0.86	0.56
CHPF2	4.09	6.64	7.36
LRRC7	0	0	0
FUT8	9.58	7.65	8.71
UBA6	9.33	13.13	9.88
GAB2	0.86	1.19	1.64
ATP6V0A1	28.19	15.88	21.93
PIAS1	10.11	13.64	15.5
SLC4A7	0.93	0.35	0.36
APBA2	0	0	0.01
MAP2K3	25.34	30.36	27.66
EFCAB1	0	0.06	0.05
TMSB10	765.82	1257.35	1103.55
ASTE1	1.29	2.47	1.37
RNF19A	31.6	22.78	27.83
PEX3	0.36	0.52	0.71
GABARAPL2	27.52	28.31	28.24
MYOC	0	0	0
SH3YL1	4.69	5.65	6.72
FAM136A	4.75	3.4	3.16
VCL	28.44	39.35	36.74
DEPDC1B	0.58	1.14	1
DAPK2	5.25	7.35	8.74
NSMAF	1.18	0.62	1.89
ADSS	3.65	7.92	7.4
STAP1	0	0	0
TIMP2	41.79	85.94	84.14
RFC1	4.66	3.83	6.38
TBC1D23	7.32	8.28	7.33
CUL3	14.84	11.89	14.17
MYOM2	0.22	0.03	0.1
OTC	0.09	0.14	0.01
CYP46A1	0	0.01	0
AC118549.1	1.34	2.34	1.82
SLC18A1	0	0	0
USP2	15.65	5.96	4.46
CASR	0	0	0
TUBG2	0.76	0.87	0.9
RPL26L1	6.6	5.65	7.28
FLT4	0	0	0
NSUN2	4.4	3.54	2.65
FBXO42	0.6	1.68	0.89
MFAP3	3.39	3.32	2.7
MRI1	0.71	0.92	0.67
METTL1	0.08	0.14	0
HOXC8	0	0	0
AGA	1.99	3.42	4.45
PI4K2B	4.5	3.51	5.88
BOD1L1	3.6	5.49	5.81
MAT2B	9.74	13.13	10.29
TLL1	0.02	0	0
EDC4	5.74	6.1	6.59
TRIO	18.97	36.27	39.71
VCAN	0	0	0
CLEC16A	5.98	4.75	3.8
MSR1	0	0	0
CDH1	124.48	242.24	242.18
MTREX	2.12	3.35	2.42
DNAH5	0.13	0.51	0.55
ZFYVE16	1.91	1.99	2.95
RIPOR1	6.47	15.52	14.86
C6	0	0	0
RAI14	9.66	12.31	8.57
SOX30	0	0.1	0.02
PNKP	2.91	4.83	4.26
BEST2	0.06	0	0
PHLPP2	8.36	4.5	4.79
SPDL1	0.83	0.18	0.1
STAU2	4.75	10.1	11.27
SLC66A1	4.93	4.5	3.63
CTNS	1.99	1.15	1.18
RTN4R	4.87	3.45	3.1
PHF23	12.3	16.29	12.59
CDH10	0	0	0
INPP4A	2.96	1.19	2.17
RAB27B	2.72	2.92	3.01
PSMA4	20.2	18.14	20.65
MYO16	0.02	0.04	0.07
LSG1	2.97	1.41	2.37
PARP3	2.39	6.77	4.24
TNC	0.01	0	0.05
THAP3	1.39	1.05	1.52
RIPOR3	0.01	0.09	0.29
TDP1	0.37	0.93	0.52
AIFM2	13.97	11.5	9.64
C2orf83	0	0	0
SPATA7	0.3	0.49	0.46
MED17	0.61	0.63	0.46
RETSAT	27.5	20.12	17.3
CAPG	50.07	88.22	82.72
AP2S1	18.84	9.4	9.9
USH2A	0	0	0
ZPBP	0	0	0
TG	0.01	0.01	0
ADAM28	0	0.22	0.53
BARX2	3.37	2.62	2.46
DCUN1D1	6.65	11.75	8.46
JADE2	2.54	4.7	3.17
ZIC2	0	0	0
LCP2	0.34	0	0.04
TRIT1	0.7	0.87	0.7
ADRB1	0.3	0.76	0.9
GUCA2B	0.91	4.64	2.06
CUL7	1.3	1.76	1.52
CTNNA1	152.21	228.89	199.58
PHKA2	7.14	11.45	14.11
CNTLN	0	0	0
EPHA3	0	0	0
HSPA5	35.62	65.35	58.15
DSG2	123.87	219.97	224.64
GEMIN8	0.55	0.38	0.46
OFD1	3.51	4.28	4.51
GPM6B	0	0.08	0.17
