GeneSymbol	D4_INT_EPIi_PI_1	D4_INT_EPIi_PI_2	D4_INT_EPIi_LPS_2	D4_INT_EPIi_5OP_1	D4_INT_EPIi_5OP_2	D4_INT_EPIi_C_1	D4_INT_EPIi_C_2	D4_ISO1_EPIi_1	D4_ISO1_EPIi_2	D4_INT_EPIi_LPS_1
MASP2	0.22	0.23	0.12	0.3	0.16	0.23	0.18	0.2	0.54	0.03
IYD	3.16	3.43	3.39	3.43	3.41	2.5	4.29	3.57	4.49	3.32
FAM76A	1.83	2.67	1.94	1	2.33	2.58	2.5	4.52	3.65	2.69
TRAF3IP3	0.18	0.04	0.07	0.14	0.43	0.15	0.14	0.05	0.17	0.12
POMT2	5.64	1	0.92	0.88	0.57	0.86	0.87	0.63	0.54	1.11
VTA1	5.98	7.43	6.3	6.61	5.98	7.75	8.42	12.6	9.53	9.85
MLXIPL	0.35	0.34	0.2	0.42	0.61	1.06	0.97	1.53	0.85	0.33
BAZ1B	7.21	7.61	7.16	6.61	6.75	7.13	8.19	8.96	6.33	9.59
RANBP9	8.04	8.46	7.28	6.33	8.08	9.07	9.17	11	8.13	12.41
ETV7	0.86	0.65	0.37	0.42	0.56	0.72	0.84	21.85	18.9	0.73
SPRTN	0.82	1.06	1.19	0.99	1.27	1.29	1.94	2.68	1.69	1.17
EEF1AKNMT	0.67	0.74	0.57	0.66	0.74	0.82	0.82	1.93	1.63	0.61
DYRK4	0.87	0.07	0.57	0.02	0.2	0.11	0.13	0.63	0.29	0.25
ZNF207	12.39	12.76	11.3	10.52	11.01	13.7	15.81	28.25	22.71	19.54
UQCRC1	29.87	28.96	30.77	26.87	33.54	31.78	31.98	41.95	28.22	37.47
STARD3NL	1.72	1.46	1.59	1.55	1.19	1.7	1.64	2.48	1.98	2.46
CD9	169.46	173.28	159.5	156.49	153.72	177.37	188.9	276.01	206.07	236.76
HHATL	0	0	0	0	0	0	0.13	0	0.04	0
NCAPD2	3.28	2.27	2.26	2.79	2.15	3.3	3.03	3.75	2.87	3.8
IFFO1	0.04	0.02	0.04	0	0.01	0.05	0.04	0.03	0.01	0
GIPR	1.59	1.23	1.61	1.03	1.36	1.86	1.02	1.16	0.96	1.24
PHF7	0.24	0.15	0.14	0.23	0.5	0.17	0.27	0.21	0.43	0.35
