GeneSymbol	D4_ISO2_HEP_1	D4_ISO1_HEP_L_1	D4_ISO1_HEP_L_2	D4_ISO2_HEP_2	D4_INT_HEP_PI_1	D4_INT_HEP_PI_2	D4_INT_HEP_LPS_1	D4_INT_HEP_LPS_2	D4_INT_HEP_5OP_1	D4_INT_HEP_5OP_2	D4_INT_HEP_C_1	D4_INT_HEP_C_2	D4_INT_HEP_GL_C
ENSG00000287508	1.98	1.68	1.24	2.98	0	0	0.14	0.54	0	0	0	0.55	0
ENSG00000287509	2.61	2.77	5.46	2.19	0	0	0	2.37	0	0	0	1.22	0
ENSG00000287510	1.76	0.44	3.28	1.06	0	0	0	1.73	0	0	0	3.66	0
ENSG00000287511	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287512	1.92	1.35	1.2	1.44	0	0	0	1.56	0	0.43	0	1.07	0
ENSG00000287513	4.34	1.96	5.34	4.26	0	0.57	0	2.95	0.04	0	0	3.04	0
ENSG00000287514	6.44	4.35	10.38	10.55	0	0	0.01	6.58	0.09	0	0	5.57	0
ENSG00000287515	2.33	2.07	4.29	0	0.03	0	0	0	0.11	0	0.17	0.75	0
ENSG00000287516	19.37	8.78	26.77	19.01	0	0.01	0.56	14.1	0.33	0	0	10.05	0
ENSG00000287517	1.44	2.58	2.27	4.57	0	0	0.19	1.96	0	0	0	1.67	0
ENSG00000287518	0.99	0	3.15	0	0	0	0	0	0	0	0	0	0
ENSG00000287519	2.33	0.77	4.78	2.28	0	0	0	1.66	0	0	0	0.8	0
ENSG00000287520	2.3	0.74	3.21	1.32	0	0	0.04	2.12	0	0	0.04	0.77	0
ENSG00000287521	0.6	3.45	0	4.59	0	0	0	0.82	0.25	0	0	5.61	0
ENSG00000287522	3.15	1.81	1.99	0.8	0	0	0	0.86	0	0	0	0.59	0
ENSG00000287523	5.84	2.23	10.38	7.27	0	0	0.42	7.2	0	0	0	1.12	0
ENSG00000287524	8.19	3.47	9.7	3.71	0.07	0	0	6.06	0	0	0.64	2.9	0
ENSG00000287525	4.79	2.04	0.75	0	0	0	0	3.26	0	0	0	2.23	0
ENSG00000287526	1.25	0.58	1.95	3.1	0	0	0	2.82	0	0	0.17	0.68	0
ENSG00000287527	4.69	2.71	8.83	6	0	0	0.47	4.25	0	0	0.86	4.79	0
ENSG00000287528	0.29	1.23	2.28	0.73	0	0	0	0.79	0	0	0	1.11	0
ENSG00000287529	4.27	0.91	2.01	2.68	0.62	0	0.61	0	0	0	0	0.2	0
ENSG00000287530	3.12	1.31	1.95	4.14	0	0	0.3	3.39	0	0	0	0.68	0
ENSG00000287531	1.73	0.63	2.73	0	0	0	0	1.18	0	0	0	0	0
ENSG00000287532	4.07	1.02	2.73	1.45	0	0	0.63	1.58	0	0	0.49	1.63	0
ENSG00000287533	0.92	2.23	0	0	0	0	0	0	0	0	0	0.22	0
ENSG00000287534	4.31	2.82	5.74	5.34	0	0.54	0.01	3.78	0.02	0.03	0	4.28	0
ENSG00000287535	1.2	1.01	1.5	1.19	0	0	0	0.98	0.06	0	0	1.68	0
ENSG00000287536	3.72	1.7	6.97	4.08	0	0	0.15	3.61	0.01	0.05	0.22	1.79	0
ENSG00000287537	1.33	0.96	0	0	0.28	0	0.68	1.81	0.74	0.17	0.41	0.62	0
ENSG00000287538	2.45	1.52	6.38	1.69	0	0	0.4	2.58	0.44	0	0	1.78	0
ENSG00000287539	5.74	3.87	10.11	5.61	0	0	0.36	2.69	0	0	0	7.6	0
ENSG00000287540	2.49	1.33	1.96	0.79	0	0	0	0	0	0	0	2.02	0
ENSG00000287541	0	0	0	0	0	0	0	0	0	19.85	0	0	0
HERC3_ENSG00000287542	0.51	1.59	0	1.16	0	0	0.2	0	0	0	0	0	0
ENSG00000287543	1.79	2.22	4	3.8	0	0.01	0	2.6	0.08	0.53	0	2.51	0
ENSG00000287544	3.43	1.65	5.59	3.16	0.01	0	0.17	4.56	0.04	0.2	0	1.66	0
ENSG00000287545	13.34	6.62	18.25	14.67	0	0	0	11.05	0	0	0	2.97	0
ENSG00000287546	2.9	2.46	6.78	3.39	0	0	0	1.75	0	0.03	0	1.88	0
ENSG00000287547	0	2.92	7.74	1.29	0	0	0	0.53	0	0	0	0.78	0
ENSG00000287548	8.81	5.97	11.03	7.33	0	0	0.23	5.58	0.04	0.03	0.85	6.72	0
ENSG00000287549	2.21	0.94	1.39	0.56	0.13	0	0	1.81	0	0	0.13	0.21	0
ENSG00000287550	10.73	5.36	13.13	8.43	0.04	0.09	0	4.27	0.13	0	0	5.5	0
ENSG00000287551	1.01	0	2.37	1.27	0	0	0	2.05	0	0	0	0	0
ENSG00000287552	4.21	1.09	6.01	7	0	0	0.37	3.42	0.19	0.03	0.67	1.92	0
ENSG00000287553	0	0	2.29	1.99	0	0	0	0	0	0	0	0	0
ENSG00000287554	2.93	1.53	7.52	4.53	0	0	0.1	2.56	0.12	0	0	0.64	0
ENSG00000287555	6.62	2.44	11.2	4.48	0	0	0	7.12	0.66	0	0.29	1.5	0
ENSG00000287556	6.44	9.12	11.56	10.99	0	0	0	6.25	0	0	0	3.86	0
ENSG00000287557	2.09	0	3.28	2.1	0	0	0	1.14	0.16	0	0	0.19	0
ENSG00000287558	2.48	3.17	2.66	2.39	0	0.23	0.08	2.73	0	0	0	1.82	0
ENSG00000287559	4.08	1.17	5.74	3.32	0.1	0.27	0	1.08	0.16	0	0.13	1.12	0
ENSG00000287560	3.44	2.97	5.39	6.27	0	0	0	1.8	0	0	0.51	2.1	0
ENSG00000287561	1.98	2.36	0	0	0	0	0.34	0	0	0	0	3.98	0
ENSG00000287562	7.01	5.4	6.76	6.69	0.12	0.17	0.11	5.58	0.07	0.03	0	4	0
ENSG00000287563	4.47	1.35	5	2.39	0	0	0	1.73	0	0	0	1.94	0
ENSG00000287564	9.14	2.82	5.8	3.01	0	0.11	0.12	5.41	0	0	3.59	2.17	0
ENSG00000287565	4.27	2.61	3.73	5.29	0	0	0.11	1.85	0.1	0	0	1.6	0
ENSG00000287566	4.46	2.69	5.58	3.51	0	0.11	0.05	2.83	0	0	0.05	2.1	1.17
ENSG00000287567	6.63	3.51	11.06	5.2	0	0	0	9.01	0	0.02	0	4.44	0
ENSG00000287568	2.43	0.42	2.54	2.02	0	0	0.2	1.93	0.17	0	0	0.1	0
ENSG00000287569	17.11	23.04	24.66	23.99	0.69	2.51	0.12	15.97	0.66	0.59	0.27	21.49	0
ENSG00000287570	2.8	2.55	5.7	4.54	0	0	0.03	4.56	0	0.75	0	1.57	0
ENSG00000287571	0.77	0	3.66	0.98	0	0	0	2.1	0	0	0	4.65	0
ENSG00000287574	2.8	4.19	8.24	6.58	0.03	0	0	2.86	0	0	0	1.96	0
ENSG00000287575	0.95	0.33	2.23	0	0	0	0	1.28	0	0	0.14	0.22	0
ENSG00000287576	3.32	1.27	3.96	5.56	0.03	0.2	0	2.32	0.01	0.01	0.47	1.42	0
ENSG00000287578	3.16	0.94	7.97	3.11	0	0	0.23	3.16	0.47	0	0	0.62	0
ENSG00000287579	0.54	0	5.9	1.76	0	0	0	0.73	0	0	0	0.25	10.34
ENSG00000287580	2.89	0	3.06	2.48	0	0	0	3.95	0	0	0	0.45	0
ENSG00000287581	4.95	3.76	5.72	4.01	0	0	0.6	6.13	0	0.1	2.26	5.06	0
ENSG00000287582	1.58	0.31	1.24	0.99	0	0	0	3.22	0	0	0	1.13	0
ENSG00000287583	2.93	3.41	4.57	5.43	0	0	0	2.69	0.01	0	0	2.4	0
ENSG00000287584	2.53	0.25	0.57	0.9	0	0	0.5	0.49	0	0.02	0	0.17	0
ENSG00000287585	1.43	2.15	2.29	1.88	0	0	0	0	0	0	0	1.31	0
ENSG00000287586	2.47	0.98	5.73	4.22	0	0	0.11	3.03	0	0	0	1.98	1.92
ENSG00000287587	6.12	1.19	10.65	5.1	0	0	0	0.46	0.13	0	0	0.32	0
ENSG00000287588	10.25	5.43	18.75	11.26	0	0	0.41	4.06	0	0.03	0.21	6.76	0
ENSG00000287589	2.61	3.15	7.23	4.65	0	0	0.39	2.62	0	0	0.02	3.53	0
ENSG00000287590	0.83	0.29	1.96	0	0	0	0	1.7	0	0	0	1.55	0
ENSG00000287591	3.71	2.1	4.15	4.61	0	0	0	1.2	0.41	0	0	1.74	0
ENSG00000287592	2.48	1.16	6.04	6.53	0	0	0	1.12	0	0	0	3.09	0
ENSG00000287593	3.91	1.52	6.14	6.55	0	0	0	2.12	0.41	0	0	1.68	0
ENSG00000287594	4.73	4.46	5.75	6.31	0	0	0	5.17	0	0	0	4.52	0
