GeneSymbol	D3_INT_EPIi_PI_1	D3_INT_EPIi_PI_2	D3_INT_EPIi_LPS_1	D3_INT_EPIi_LPS_2	D3_INT_EPIi_5OP_1	D3_INT_EPIi_5OP_2	D3_INT_EPIi_C_1	D3_INT_EPIi_C_2	D3_ISO1_EPIi_1	D3_ISO1_EPIi_2
SYN1	0	0	0	0	0	0	0.07	0.03	0.06	0.05
JARID2	0.18	0.32	0.3	0.36	0.31	0.31	0.39	0.44	0.86	0.85
CDKL5	0.69	0.73	0.7	0.65	0.95	0.93	1.27	1.28	0.99	1.19
CAMK1G	0	0.02	0	0	0.01	0.02	0.01	0.07	0.04	0.05
CDK11A	4.26	5.32	4.86	5.17	6.34	7.35	10.57	8.51	7.93	11.96
NADK	15.38	17.91	20.07	18.01	17.73	18.86	21.32	24.1	12.92	17.91
TFAP2B	0	0	0	0	0	0	0	0	0	0
TFAP2D	0	0	0	0	0	0	0	0	0	0
DLEC1	0	0.05	0.02	0.11	0.07	0.15	0.09	0.04	0.08	0.05
CYTH3	8.46	8.54	10.5	9.11	9.19	7.17	7.73	8.72	5.03	6.33
ADAM22	0.11	0.01	0.01	0.03	0.07	0.02	0.03	0.03	0.01	0.05
SYPL1	5.54	6.6	6.44	5.72	6.71	6.14	10.05	9.76	2.41	3.63
CYB561	5.85	5.8	6.17	6.32	5.55	5.26	5.86	7.53	3.72	6.29
SPAG9	43.43	33.96	35.75	36.41	42.92	58.52	36.75	41.4	30.57	41.37
CELSR3	0.03	0.01	0.01	0.03	0.01	0.01	0.04	0.25	0.05	0.01
AASS	1.48	0.59	0.78	0.92	1.12	1.75	0.72	1.05	1.84	2.49
PLEKHG6	16.95	17.62	14.67	13.75	15.47	11.04	16.04	18.85	6.32	11.34
SS18L2	0.85	0.75	0.51	0.8	1.01	2.2	1.87	0.83	1.23	1.13
MPND	6.56	6.64	7.14	7.64	8.81	6.05	8.58	8.66	5.39	8.88
MGST1	49.23	59.43	41.88	42.63	57.29	59.17	63.88	38.91	30.98	38.86
CRY1	2.26	2.31	2.02	2.14	2.4	2.32	2.35	1.83	1.71	1.74
PGLYRP1	0	0	0	0	0	0	0	0	0	0
NFIX	2.3	3.69	4.12	4.47	1.77	2.92	3.61	3.98	2.19	2.71
ST3GAL1	6.06	7.57	6.04	5.85	6.93	8.8	10	8.47	8.85	8.23
MMP25	0.1	0.05	0.06	0.04	0.08	0.09	0.06	0.06	4.56	5.71
IL32	162.27	121.47	169.35	181.94	193.81	195.28	226.02	251.34	1855.82	1944.57
PKD1	0.46	0.8	0.83	0.44	0.32	0.5	0.74	0.73	0.03	0.79
MAPK8IP2	0.05	0.03	0	0.03	0.04	0.05	0.02	0.04	0.12	0.15
MED24	2.73	3.25	2.77	3.19	4.73	4.33	8.01	8.84	2.76	4.19
RHOBTB2	4.61	4.9	4.46	4.26	4.48	3.86	6.3	6.91	1.86	1.15
